address_line_1,city,postcode,latitude,longitude
15 St Marys Close,North Lincolnshire,DN17 4NP,53.609854,-0.8252
Park Place,Bath and North East Somerset,BS39 4EQ,51.362625,-2.575737
128 Pershore Avenue,Bradford,BD7 3JE,53.785587,-1.77974
6 Gala Drive,Slough,SL1 5UB,51.510894,-0.644514
"Highways, Broad Lane",Stockton-on-Tees,TS16 9HJ,54.520799,-1.34718
24 Tulse Hill,Belfast,BT9 6RD,54.560791,-5.955564
6 Eglos View,Wandsworth,SW18 1UF,51.458106,-0.192737
60 North Side,Rotherham,S62 7BP,53.467018,-1.343493
5 Stryd Llewelyn,Guildford,GU12 5EH,51.261701,-0.721138
4 Queens Grove,Maidstone,ME15 9DU,51.244976,0.551896
8 Cromwell Avenue,Westminster,SW1W 9PP,51.493486,-0.150912
4 Viewlands,Sefton,PR8 3TF,53.595472,-3.044394
34 Goldring Avenue,Sunderland,DH5 9FR,54.826545,-1.463713
"1 The Mews, 17 Brookley Road",Redbridge,IG8 0UQ,51.609789,0.021329
2 Oaklands Close,Lambeth,SE5 9BA,51.466873,-0.099495
151 Rose Hill Road,Norwich,NR1 3PS,52.620659,1.295188
203 Grangeway,Nottingham,NG5 2JR,52.980847,-1.147772
49 Kingscroft,East Suffolk,IP17 3DL,52.272931,1.622348
"Hughfield, Burradon Road",Basingstoke and Deane,RG21 7SG,51.265373,-1.09813
2 Lych Gate,Sheffield,S35 2EP,53.466005,-1.475101
67 School Lane,Isle of Anglesey,LL63 5SW,53.227177,-4.485562
15 The Waverleys,Dacorum,HP3 9QA,51.737731,-0.459876
1 Garden Cottages,Tunbridge Wells,TN4 0DY,51.153257,0.257514
8 Terrace Road,Shetland Islands,ZE2 9DR,60.758707,-0.857581
16 High Street,Causeway Coast and Glens,BT51 5FA,54.98387,-6.690696
69 The Gardens,"Kingston upon Hull, City of",HU7 4HP,53.792343,-0.331684
Garregwen,Nottingham,NG5 9RE,53.000106,-1.17639
1 Stanley Cottages,County Durham,SR7 9LB,54.822127,-1.379543
